Ref.No,OfferType,ExchangeType,Deadline,Comment,Employer,Department,Street1,Street2,PostBox,PostalCode,City,State,Country,Website,Workplace,Business,Responsible,Airport,Transport,Employees,HoursWeekly,HoursDaily,Canteen,GeneralDisciplines,FieldsOfStudy,TrainingRequired,OtherRequirements,Workkind,WeeksMin,WeeksMax,From,To,WorkType_R,WorkType_O,WorkType_F,WorkType_None,Language1,Language1Level,Language1Or,Language2,Language2Level,Language2Or,Language3,Language3Level,Currency,Payment,PaymentFrequency,Deduction,Lodging,LodgingCost,LodgingCostFrequency,LivingCost,LivingCostFrequency,NoHardCopies,Faculty 1,Period2_From,Period2_To,Holidays_From,Holidays_To,Additional_Info,PublishedTo,DatePublished,Last modified,CompletedYearsOfStudy,RequiredKnowledgeAndExperiences,PaymentFrequency,ExpectedTypeOfAccommonation,GeneralDisciplinesText,FieldsOfStudyText
AT-2022-1011BO,OPEN,AC,2022-03-01,,"Universität Wien, Pharmacoinformatics Group",,Althanstraße 14,,,1090,Wien,,Austria,,Vienna,University,,"VIE, BTS",Spittelau (U6/U4),25,30,7,No,,,,,"The Pharmacoinformatics Research Group, University of Vienna (pharminfo.univie.ac.at), is engaged in all aspects of computational drug design. This includes ligand- and strucutre-based design as well as machine learning and data mining. Current focus is on toxicity prediction and complex data mining. We are seeking a highly motivated student, preferentially with a pharmacy and/or informatics background. He/she ideally has some experience in computational drug design or machine learning. Basic knowledge of R, Python, or Java is highly appreciated.",6,12,2022-07-01,2022-09-30,Yes,No,No,,English,"Excellent (C1, C2)",,,,,,,EUR,1500,Monthly,aprox. 20%,"student, with help of IAESTE",450,Monthly,850,Monthly,,"11-COMPUTER AND INFORMATION SCIENCES, 26-BIOLOGICAL AND BIOMEDICAL SCIENCES, 40C-CHEMISTRY AND CHEMICAL ENGINEERING",,,,,informational talk by IAESTE and/or employer,,2022-01-22 08:41:29,2022-01-22 08:41:29,3,"We are seeking a highly motivated student, preferentially with a pharmacy and/or informatics background. He/she ideally has some experience in computational drug design or machine learning. Basic knowledge of R, Python, or Java is highly appreciated.",,,"11-COMPUTER AND INFORMATION SCIENCES, 26-BIOLOGICAL AND BIOMEDICAL SCIENCES, 40C-CHEMISTRY AND CHEMICAL ENGINEERING",
AT-2022-4006LE,OPEN,AC,2022-03-01,,MIRO,,Franz-Josef-Strasse 18,,,8700,Leoben,,Austria,,Leoben,International Relations in Higher Education,,,,NA,40,8,No,,,,"flexible mindset
good interpersonal skills 
quick and independent reactions and work manner 
positive attitude 
good communication skills (excellent English!)"," - Involvement in Student Exchange preparational and organizational activities
- Personal contact with co-workers university wide, Meeting organization, Office organisation
- Involvement in and organization of international student events
- University cooperation activities such as contract management or correspondence
- Marketing tasks such as design of new material and/or promotion of programmes
- Development of relevant textual pieces, Personal contact with students",10,12,2022-06-15,2022-10-15,No,Yes,No,,English,"Excellent (C1, C2)",,,,,,,EUR,1828,Monthly,~20%,IAESTE,350,Monthly,650,Monthly,,"52-BUSINESS, MANAGEMENT, AND MARKETING",,,,,Informational talk by IAESTE and/or employer,,2022-01-22 08:41:32,2022-01-22 08:41:32,3,"grafic programmes, e.g. Canva, Graphic design experience, Text understanding and ability to compose meaningful and coherent content",,,"52-BUSINESS, MANAGEMENT, AND MARKETING",
BD-2022-FASHION2,REMOTE,COBE,2022-03-15,,সেলাই - SELAI TEXTILE,FASHION & DESIGN,UTTARA MODEL TOWN,DHAKA,,1230,DHAKA,,Bangladesh,https://www.facebook.com/%E0%A6%B8%E0%A7%87%E0%A6%B2%E0%A6%BE%E0%A6%87-Selai-105845148421596,BANGLADESH,Fashion & Design,,,,3500,7.5,1.5,No,,,,"Timing & excellent communication skills
Excellent presentation skills with good in power point","FASHION DESIGN IN THE 21ST CENTURY

What would you do?
- Luxury Segment of the Fashion Industry,
- The Internet, the World Wide Web, and E-Commerce,
- The Origin of Luxury Fashion, Creativity Blends Intellect and Emotion
- The Haute Couture, Qualitative Research and Design Strategy
- Technology created new environments for social and business
interaction,
- A global competitive environment, Price-Point and Creativity
- Technology, Mystery and Surprise, Creativity,
- Unifying Metatheory for Clothing and Textiles
- Paper submission & Modelling,
- Project Presentation.

How do we plan to work with you?
1. We need you to be able to devote at least 2 hours per day.
2. We will set up weekly online meetings to follow up on the progress work.
3. As they may exist time zone differences, we expect you to be flexible with meeting timings.

What to expect after completion?
After successful completion of the above mentioned tasks, student will be awarded a certificate and recommendation letter. Only outstanding work will be considered as publication.",4,4,2022-04-04,2022-12-29,Yes,No,No,,English,"Excellent (C1, C2)",,,,,,,BDT,0,Monthly,0,N.A.,0,Monthly,0,Monthly,,OTHER,,,,,,,2021-12-26 08:06:20,2021-12-26 08:06:21,2,"Fashion design skills
Critical thinking
Critical analysis
Project management skills",,N.A.,OTHER,
BD-2022-FLUID1,REMOTE,COBE,2022-03-15,,COLLEGE OF AVIATION TECHNOLOGY/ NATIONAL UNIVERSITY BANGLADESH,AERONAUTICS,UTTARA,,,1230,Dhaka,,Bangladesh,www.nu.ac.bd,DHAKA,RESEARCH & INNOVATION,,DHAKA,,50,7.5,1.5,No,,14.1901,,"Timing & excellent communication skills
Excellent presentation skills with good in power point
Creativity","Working fluid in the surrounding air.

- Working Fluids
- Basic properties of working fluids
- Performance analysis and working fluid
- Overview of working fluids and sustainable heating, cooling
- Impact of Working Fluids and Performance
- Execution of design capability in CAD,
- Paper submission,
- Project Presentation.

How do we plan to work with you?
1. We need you to be able to devote at least 1.5 hours per day.
2. We will set up weekly online meetings to follow up on the progress work.
3. As they may exist time zone differences, we expect you to be flexible with meeting timings.

What to expect after completion?
After successful completion of the above mentioned tasks, student will be awarded a certificate and recommendation letter.
Only outstanding work will be considered as publication.",4,4,2022-04-01,2022-07-31,Yes,No,No,,English,"Good (B1, B2)",,,,,,,BDT,0,Monthly,0,N/A,0,Monthly,0,Monthly,,14D-MECHANICAL ENGINEERING,,,,,,,2022-01-31 12:02:41,2022-01-31 12:02:42,2,"CAD design skills Critical thinking
SOLID WORK
Critical analysis
Project management skills",,N/A,14D-MECHANICAL ENGINEERING,14.1901-Mechanical Engineering.
BD-2022-LIUMJET,REMOTE,COBE,2022-03-15,,College of Aviation Technology,Aerospace,"House 14, Road 2, Sector 11, Uttara",,,1230,Dhaka,,Bangladesh,www.catechedu.com,Bangladesh,Education and  Research,,,,50,7.5,1.5,No,,14.1901,,"Timing & excellent communication skills
Excellent presentation skills with good in power point
Creativity","Flying Taxi concept & design for UBER Elevate. -The future of urban mobility.

What would you do?
- A low environmental footprint in mind,
- Conceptual design electric engine for fly taxi for UBER,
- Technical specifications,
- Remotely piloted for autonomous flight,
- Advantages,
- Execution of design capability in CAD,
- Paper submission,
- Project Presentation.

How do we plan to work with you?
1. We need you to be able to devote at least 2 hours per day.
2. We will set up weekly online meetings to follow up on the progress work.
3. As they may exist time zone differences, we expect you to be flexible with meeting timings.

What to expect after completion?
After successful completion of the above mentioned tasks, student will be awarded a certificate and recommendation letter.
Only outstanding work will be considered as publication.",4,4,2022-05-03,2022-07-31,Yes,No,No,,English,"Excellent (C1, C2)",,,,,,,BDT,0,Monthly,0,N.A.,0,Monthly,0,Monthly,,14D-MECHANICAL ENGINEERING,,,,,,,2021-12-28 06:10:15,2022-01-10 18:36:56,2,"CAD design skills Critical thinking
Critical analysis
Project management skills",,N.A.,14D-MECHANICAL ENGINEERING,14.1901-Mechanical Engineering.
BD-2022-PROPUL1,REMOTE,COBE,2022-03-15,,SPACE RESEARCH INSTITUTE,AEROSPACE,UTTARA MODEL TOWN,UTTARA,,1230,DHAKA,,Bangladesh,http://www.catechedu.com/explore/research-innovation,DHAKA,Research & Innovation,,DHAKA,,50,7.5,1.5,No,,14.1901,,"Timing & excellent communication skills
Excellent presentation skills with good in power point
Creativity","Propulsion system.

What would you do?
- Gas Turbine Propulsion
- DIAGRAM OF GAS TURBINE
- JET ENGINE PARTS
- JET PROPULSION
- How Things Fly
- Future Propulsion Systems 
- Final Report
- Paper submission,
- Project Presentation.

How do we plan to work with you?
1. We need you to be able to devote at least 1.5 hours per day.
2. We will set up weekly online meetings to follow up on the progress work.
3. As they may exist time zone differences, we expect you to be flexible with meeting timings.

What to expect after completion?
After successful completion of the above mentioned tasks, student will be awarded a certificate and recommendation letter.
Only outstanding work will be considered as publication.",4,4,2022-04-04,2022-06-30,Yes,No,No,,English,"Excellent (C1, C2)",,,,,,,BDT,0,Monthly,0,N/A,0,Monthly,0,Monthly,,14D-MECHANICAL ENGINEERING,,,,,,,2022-01-31 12:06:18,2022-01-31 12:06:18,2,"CAD design skills Critical thinking
EXCELLENT IN CATIA
Critical analysis
Project management skills",,N/A,14D-MECHANICAL ENGINEERING,14.1901-Mechanical Engineering.
BD-2022-VENTURI2,REMOTE,COBE,2022-03-15,,CATECH,Aerospace,"House-14, Road-2, Sector-11","Uttara, Dhaka",,1230,Dhaka,,Bangladesh,www.catechedu.com,BANGLADESH,Education & Research,,,,50,7.5,1.5,No,,14.1001;14.1099,,"Timing & excellent communication skills
Excellent presentation skills with good in power point
Creativity","How the Venturi Eclectic Works

What would you do?
- Pointing the Way to Zero-Emissions Driving
- Theoretical Approaches Regarding the VENTURI Effect
- Study of aerodynamics for a simplified car model
- Eclectic - Venturi
- Technical specifications,
- Venturi Astrolab Works
- Venturi Astrolab Design
- Execution of design capability in CAD
- Paper submission,
- Project Presentation.

How do we plan to work with you?
1. We need you to be able to devote at least 1.5 hours per day.
2. We will set up weekly online meetings to follow up on the progress work.
3. As they may exist time zone differences, we expect you to be flexible with meeting timings.

What to expect after completion?
After successful completion of the above mentioned tasks, student will be awarded a certificate and recommendation letter.
Only outstanding work will be considered as publication.",4,4,2022-09-05,2022-12-29,Yes,No,No,,English,"Excellent (C1, C2)",,,,,,,BDT,0,Monthly,0,N.A.,0,Monthly,0,Monthly,,14C-ELECTRICAL AND ELECTRONICS ENGINEERING,,,,,,,2021-12-28 06:17:00,2022-01-03 09:32:28,2,"CAD design skills Critical thinking
Critical analysis
Project management skills",0,N.A.,14C-ELECTRICAL AND ELECTRONICS ENGINEERING,"14.1001-Electrical and Electronics Engineering, 14.1099-Electrical, Electronics and Communications Engineering, Other."
BE-2022-012UGE,Open,AC,2022-03-15,,Stampix,,Oktrooiplein 1,bus 201,,9000,Gent,,Belgium,,Ghent,Photo printing PaaS,Serge Morel,Brussels,100m,5-20,38,8,No,,11.0101;11.0102;11.1005;30.7001;14.0903,,"We will do a manual interview of the candidate before acceptance. Experience with app development and AI engineering will definitely help out in the selection.
If student does not have EEA or Swiss nationality, stay is limited to 90 days due to work permit regulations.","Stampix is a free photo printing service, where business is run by partnering with brands that want to reach out to (potential) customers on the backside of these photos.
As of late, we have been investing our resources into finding out how we can reduce the effort needed by users to select their photos. For this, we have developed an AI that runs entirely on the user's smartphone and analyzes photos on the camera roll. The best photos get automatically suggested to the user for their next set of free prints.
The internship project is twofold and consists of an on-edge optimization and implementing a recommendation system.

1) Optimization
As previously mentioned, the Stampix app has an on-device AI that selects the best photos from the camera roll from a user. For this, several steps are taken to introduce a ranking in the photos, where rank 1 indicates the “most printable” photo.
Currently, a functional prototype of this has been worked out in cross-platform code. This is currently causing a slow processing time per photo. The goal of this project is to largely decrease this time. A robust architecturing exercise is needed to bring this prototype to a state of excellence. For this, actual algorithmic logic is best implemented in native code, as to get rid of channel communication delays and use the full processing power of the CPU, GPU & NPU instead. The Stampix app is written in cross-platform React Native code, so an abstraction layer should always be present.

2) Recommendation System
Our current AI is a general concept that is applied to our entire user base. It does not take into account personal preferences for users (e.g. strong preference for selfies, cats, specific person, etc..).
This part of the internship consists of architecturing and developing a personal recommendation engine that is able to learn (over time) what the user prefers. The features & feedback points for a content-based recommendation is available through the means of the ordering flow. Everytime a user swaps a photo from our suggestion, we have both a new negative & new positive example of what the user likes and dislikes.
This recommendation system should work side-by-side with the on-device AI. This means that previous swapped-out photos should not be re-recommended to the user and that important features should be put forward in the ranking.
Photos are a sensitive subject in a lot of circumstances, so the algorithm should take into account sudden changes of user preferences. For example, a user might print a lot of photos from a new kitten, but might suddenly very much dislike seeing these photos after it passed away. If a user removes all photos concerning a certain topic from our suggestion, the algorithm should very negatively score this topic in future passes of the algorithm.
Lastly, a user-preference vector should be synced with the back end infrastructure in order to provide a consistent experience across devices, sign outs, app updates, etc.",6,16,2022-06-01,2022-09-30,Yes,Yes,No,,English,"Excellent (C1, C2)",,,,,,,EUR,1000,Monthly,0,Trainee with the help of IAESTE LC Ghent,500,Monthly,1000,Monthly,,"11-COMPUTER AND INFORMATION SCIENCES, 14A-ENGINEERING, Other",,,,,,,2022-01-22 08:41:23,2022-01-22 08:41:23,3,"The intern should be able to work in a supervised but structured, independent way. Hands-on software engineering skills are a requirement for this internship to be successfully completed.",,,"11-COMPUTER AND INFORMATION SCIENCES, 14A-ENGINEERING, Other","11.0101-Computer and Information Sciences, General., 11.0102-Artificial Intelligence., 11.1005-Information Technology Project Management., 30.7001-Data Science, General., 14.0903-Computer Software Engineering."
BE-2022-027KUL,Open,AC,2022-03-15,,Goodix,,Arnould Nobelstraat 32,,,3000,Leuven,,Belgium,goodix.com,Leuven,"integrated solution provider for applications based on IC design and software development offering software and hardware semiconductor solutions for smart devices, IoT applications, and automotive electronics",Magdalena Kaniewska,Zaventem (Brussels),Train station Leuven,40,40,8,No,,14.1001;14.1004;14.1099,,"Comsol experience will be an advantage, interview required before accepting the candidate

If trainee does not have EEA or Swiss nationality, stay is limited to 90 days.","This project is a part of the development of a lens position control chip and software for use in smartphone cameras. This will support both Auto Focus and Optical Image Stabilization. 
The goal is to evaluate combinations of magnet and hall sensor arrays, for long stoke position measurement. It includes simulation and building a practical setup, including independent measurement of the achieved system accuracy; development of processing algorithms and estimating system sensitivity to variations.",12,16,2022-05-02,2022-12-02,Yes,No,No,,English,"Good (B1, B2)",,,,,,,EUR,250,Weekly,0,Trainee with the help of LC Leuven,125,Weekly,250,Weekly,,14C-ELECTRICAL AND ELECTRONICS ENGINEERING,,,,,,,2022-01-22 08:41:26,2022-01-22 08:41:27,4,Experience in Simulink,weekly,,14C-ELECTRICAL AND ELECTRONICS ENGINEERING,"14.1001-Electrical and Electronics Engineering, 14.1004-Telecommunications Engineering., 14.1099-Electrical, Electronics and Communications Engineering, Other."
BR-2022-180-UFOP,OPEN,FCFS,2022-03-15,,UFOP - Universidade Federal de Ouro Preto,,,,,,Ouro Preto,,Brazil,http://,Ouro Preto - MG,,Augusto Cesar Lobo,Confins - CNF,,500,30,6,Yes,,27.0101;27.0305;40.0801,,,"This is an interdisciplinary project which involves physics, mathematics and cognitive psychology. The subject of this project is an emergent field of science called quantum cognition.
The main objective of this project is to build upon a previous paper by Blutner et al where they proposed a two-qubit quantum cognitive structure in order to model Jung's personality typology. We would like to deepen their analysis of the mathematical structure of the two-qubit model in order to conduct a more thorough discussion on how to devise and implement psychological (personality typology) experiments via questionnaires that we shall elaborate and analyze the results via the formalism of quantum-like mathematical structures.",6,12,2022-08-01,2022-10-28,Yes,Yes,No,,English,"Good (B1, B2)",,,,,,,BRL,600,Monthly,0,IAESTE Brazil,400,Monthly,500,Monthly,,"27-MATHEMATICS AND STATISTICS, 40B-PHYSICS",,,,,,,2022-01-31 12:42:07,2022-01-31 12:42:08,3,"The student must have basic knowledge of linear algebra, calculus and quantum physics.",after 30 days,,"27-MATHEMATICS AND STATISTICS, 40B-PHYSICS","27.0101-Mathematics, General., 27.0305-Financial Mathematics., 40.0801-Physics, General."
